Id,"Medicine Name",Description,Quantity,"Unit Price","Cost Price"
482,"Medicine 482","Sample description for Medicine 482",488,122,59536
483,"Medicine 483","Sample description for Medicine 483",373,191,71243
484,"Medicine 484","Sample description for Medicine 484",460,92,42320
485,"Medicine 485","Sample description for Medicine 485",484,21,10164
486,"Medicine 486","Sample description for Medicine 486",413,24,9912
487,"Medicine 487","Sample description for Medicine 487",362,116,41992
488,"Medicine 488","Sample description for Medicine 488",233,17,3961
489,"Medicine 489","Sample description for Medicine 489",221,130,28730
490,"Medicine 490","Sample description for Medicine 490",468,119,55692
491,"Medicine 491","Sample description for Medicine 491",127,57,7239
492,"Medicine 492","Sample description for Medicine 492",317,140,44380
493,"Medicine 493","Sample description for Medicine 493",396,195,77220
494,"Medicine 494","Sample description for Medicine 494",381,180,68580
495,"Medicine 495","Sample description for Medicine 495",262,40,10480
496,"Medicine 496","Sample description for Medicine 496",304,187,56848
497,"Medicine 497","Sample description for Medicine 497",70,33,2310
498,"Medicine 498","Sample description for Medicine 498",435,181,78735
499,"Medicine 499","Sample description for Medicine 499",453,107,48471
500,"Medicine 500","Sample description for Medicine 500",207,164,33948
